Days,RushHour,Weather,Temperature,Humidity,Density
5,1,0.62,0.779,0.11,0
5,1,0.62,0.779,0.11,0
5,1,0.62,0.779,0.11,0
5,1,0.62,0.779,0.11,0
5,1,0.62,0.743,0.17,0
5,1,0.62,0.743,0.17,0
5,1,0.62,0.743,0.17,0
5,1,0.62,0.743,0.17,0
5,1,0.62,0.743,0.18,0
5,1,0.62,0.743,0.18,0
5,1,0.62,0.743,0.18,0
5,1,0.62,0.743,0.18,0
5,1,0.62,0.743,0.18,0
5,1,0.62,0.743,0.18,0
5,1,0.62,0.743,0.18,1
5,1,0.62,0.743,0.18,0
5,1,0.62,0.743,0.18,0
5,1,0.62,0.743,0.18,0
5,0,0.62,0.743,0.18,1
5,0,0.62,0.743,0.18,1
5,0,0.62,0.743,0.18,2
5,0,0.62,0.726,0.37,1
5,0,0.62,0.726,0.37,1
5,0,0.62,0.726,0.37,1
5,0,0.62,0.726,0.37,2
5,0,0.62,0.718,0.4,2
5,0,0.62,0.718,0.4,2
5,0,0.62,0.718,0.4,2
5,0,0.62,0.738,0.2,2
5,0,0.62,0.738,0.2,1
5,0,0.62,0.738,0.2,1
5,0,0.62,0.738,0.2,2
5,0,0.62,0.738,0.2,2
5,0,0.62,0.738,0.2,2
5,0,0.62,0.738,0.2,2
5,0,0.62,0.738,0.2,2
5,0,0.62,0.738,0.2,2
5,0,0.75,0.738,0.21,2
5,0,0.75,0.738,0.21,2
5,0,0.75,0.738,0.21,2
5,0,0.75,0.738,0.21,2
5,0,0.75,0.738,0.21,2
5,0,0.75,0.732,0.23,1
5,0,0.75,0.732,0.23,2
5,0,0.75,0.732,0.23,1
5,0,0.75,0.732,0.23,1
5,0,0.75,0.732,0.23,1
5,0,0.75,0.732,0.23,1
5,0,0.75,0.732,0.23,0
5,0,0.75,0.732,0.23,0
5,0,0.62,0.733,0.23,0
5,0,0.62,0.732,0.23,2
5,0,0.62,0.732,0.23,2
5,0,0.62,0.732,0.23,2
5,0,0.62,0.732,0.23,2
5,0,0.62,0.732,0.23,2
5,0,0.62,0.732,0.23,2
5,0,0.62,0.732,0.23,3
5,0,0.62,0.732,0.23,3
5,0,0.62,0.733,0.23,3
5,0,0.62,0.733,0.23,3
5,0,0.62,0.733,0.23,3
5,0,0.5,0.732,0.23,3
5,0,0.5,0.732,0.23,3
5,0,0.5,0.732,0.23,3
5,0,0.5,0.732,0.24,3
5,0,0.5,0.732,0.24,3
5,0,0.5,0.732,0.24,3
5,0,0.38,0.733,0.24,3
5,0,0.38,0.733,0.24,3
5,0,0.38,0.727,0.25,3
5,0,0.38,0.727,0.25,3
5,0,0.38,0.727,0.25,3
5,0,0.38,0.727,0.25,3
5,0,0.38,0.727,0.25,2
5,0,0.38,0.727,0.25,2
5,0,0.38,0.727,0.25,2
5,0,0.38,0.76,0.55,3
5,0,0.38,0.76,0.55,3
5,0,0.38,0.76,0.55,3
5,0,0.38,0.76,0.55,3
5,0,0.38,0.76,0.55,3
5,0,0.12,0.76,0.55,3
5,0,0.12,0.76,0.55,3
5,0,0.25,0.76,0.55,3
5,0,0.25,0.76,0.55,3
5,0,0.25,0.76,0.55,3
5,0,0.12,0.76,0.55,3
5,0,0.12,0.76,0.55,3
5,0,0.25,0.76,0.55,3
5,1,0.25,0.76,0.55,2
5,1,0.25,0.76,0.55,3
5,1,0.25,0.76,0.55,3
5,1,0.25,0.76,0.55,3
5,1,0.25,0.76,0.55,3
5,1,0.25,0.76,0.55,3
5,1,0.25,0.76,0.55,3
5,1,0.25,0.76,0.55,3
5,1,0.25,0.76,0.55,3
5,1,0.38,0.768,0.15,3
5,1,0.38,0.768,0.15,3
5,1,0.38,0.768,0.15,3
5,1,0.25,0.768,0.15,3
5,1,0.25,0.768,0.15,3
5,1,0.25,0.768,0.15,3
5,1,0.25,0.768,0.15,3
5,1,0.25,0.768,0.15,3
5,1,0.25,0.768,0.15,3
5,1,0.25,0.768,0.15,3
5,1,0.25,0.771,0.14,3
5,1,0.25,0.771,0.14,3
5,1,0.38,0.772,0.14,3
5,1,0.25,0.772,0.14,3
5,1,0.25,0.772,0.14,3
5,1,0.25,0.772,0.14,3
5,1,0.38,0.772,0.14,3
5,1,0.38,0.772,0.14,3
5,1,0.25,0.772,0.14,3
5,1,0.25,0.772,0.14,3
5,1,0.12,0.772,0.14,3
5,1,0.12,0.772,0.14,3
5,1,0.12,0.772,0.14,3
5,1,0.25,0.772,0.14,3
